Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-7275-2-ND,445-7275-1-ND,445-7275-6-ND","C0603X7R1E102K030BA","TDK Corporation","TDK Corporation","CAP CER 1000PF 25V X7R 0201","719,393","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","1000 pF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-7313-2-ND,445-7313-1-ND,445-7313-6-ND","C0603X5R1C104K030BC","TDK Corporation","TDK Corporation","CAP CER 0.1UF 16V X5R 0201","3,926,061","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","16V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-7318-2-ND,445-7318-1-ND,445-7318-6-ND","C0603X5R1A104K030BC","TDK Corporation","TDK Corporation","CAP CER 0.1UF 10V X5R 0201","1,289,686","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","10V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-13671-2-ND,445-13671-1-ND,445-13671-6-ND","C0603X5R1E104K030BB","TDK Corporation","TDK Corporation","CAP CER 0.1UF 25V X5R 0201","952,330","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","25V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-9051-2-ND,445-9051-1-ND,445-9051-6-ND","C0603X7S1A104K030BC","TDK Corporation","TDK Corporation","CAP CER 0.1UF 10V X7S 0201","907,854","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","10V","X7S","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-8007-2-ND,445-8007-1-ND,445-8007-6-ND","C0603X5R0J474M030BC","TDK Corporation","TDK Corporation","CAP CER 0.47UF 6.3V X5R 0201","125,824","0.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.47 µF","±20%","6.3V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-13666-2-ND,445-13666-1-ND,445-13666-6-ND","C0603X5R1A474M030BC","TDK Corporation","TDK Corporation","CAP CER 0.47UF 10V X5R 0201","532,753","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.47 µF","±20%","10V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.014"" (0.35mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-13708-2-ND,445-13708-1-ND,445-13708-6-ND","C0603X6S1A224K030BC","TDK Corporation","TDK Corporation","CAP CER 0.22UF 10V X6S 0201","1,644,262","0.22","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.22 µF","±10%","10V","X6S","-55°C ~ 105°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.014"" (0.35mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-9069-2-ND,445-9069-1-ND,445-9069-6-ND","C0603X7S0J224K030BC","TDK Corporation","TDK Corporation","CAP CER 0.22UF 6.3V X7S 0201","1,760,430","0.24","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.22 µF","±10%","6.3V","X7S","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.014"" (0.35mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/0201-(0603-Metric)-0,33mm-C-Series.jpg","445-1791-2-ND,445-1791-1-ND,445-1791-6-ND","C0603X5R1E222K030BA","TDK Corporation","TDK Corporation","CAP CER 2200PF 25V X5R 0201","507,935","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","2200 pF","±10%","25V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
