Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Features"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-16280-2-ND,445-16280-1-ND,445-16280-6-ND","MLG1005S2N2BT000","TDK Corporation","TDK Corporation","FIXED IND 2.2NH 900MA 150MOHM SM","208,935","0.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","2.2 nH","±0.1nH","900 mA","-","Unshielded","150mOhm Max","7 @ 100MHz","7GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf1005_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2123/MFG_MLF1005.jpg","445-15699-2-ND,445-15699-1-ND,445-15699-6-ND","MLF1005GR82KT000","TDK Corporation","TDK Corporation","FIXED IND 820NH 40MA 590MOHM SMD","26,855","0.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","820 nH","±10%","40 mA","-","Shielded","590mOhm Max","30 @ 10MHz","130MHz","-","-40°C ~ 85°C","10 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1005_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/569/0402-TDK.jpg","445-6381-2-ND,445-6381-1-ND,445-6381-6-ND","MLZ1005M2R2WT000","TDK Corporation","TDK Corporation","FIXED IND 2.2UH 350MA 550MOHM SM","86,295","0.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","2.2 µH","±20%","350 mA","60mA","Shielded","550mOhm","-","-","-","-55°C ~ 125°C","2 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlj1005_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/719/MFG_MLJ1005W.jpg","445-180958-2-ND,445-180958-1-ND,445-180958-6-ND","MLJ1005WR56JT000","TDK Corporation","TDK Corporation","FIXED IND 560NH 250MA 1.4OHM SMD","44,523","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLJ","Active","Multilayer","Ferrite","560 nH","±5%","250 mA","200mA","Shielded","1.4Ohm Max","15 @ 25MHz","170MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3055-2-ND,445-3055-1-ND,445-3055-6-ND","MLG1005S6N8JT000","TDK Corporation","TDK Corporation","FIXED IND 6.8NH 600MA 250MOHM SM","55,263","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","6.8 nH","±5%","600 mA","-","Unshielded","250mOhm Max","8 @ 100MHz","3.5GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3059-2-ND,445-3059-1-ND,445-3059-6-ND","MLG1005S10NJT000","TDK Corporation","TDK Corporation","FIXED IND 10NH 500MA 350MOHM SMD","34,750","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","10 nH","±5%","500 mA","-","Unshielded","350mOhm Max","8 @ 100MHz","2.5GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3066-2-ND,445-3066-1-ND,445-3066-6-ND","MLG1005S39NJT000","TDK Corporation","TDK Corporation","FIXED IND 39NH 250MA 1 OHM SMD","38,889","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","39 nH","±5%","250 mA","-","Unshielded","1Ohm Max","8 @ 100MHz","1.2GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3051-2-ND,445-3051-1-ND,445-3051-6-ND","MLG1005S4N7ST000","TDK Corporation","TDK Corporation","FIXED IND 4.7NH 700MA 250MOHM SM","29,550","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","4.7 nH","±0.3nH","700 mA","-","Unshielded","250mOhm Max","8 @ 100MHz","4.5GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3042-2-ND,445-3042-1-ND,445-3042-6-ND","MLG1005S2N0ST000","TDK Corporation","TDK Corporation","FIXED IND 2NH 900MA 150 MOHM SMD","25,442","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","2 nH","±0.3nH","900 mA","-","Unshielded","150mOhm Max","7 @ 100MHz","7.5GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3047-2-ND,445-3047-1-ND,445-3047-6-ND","MLG1005S3N3ST000","TDK Corporation","TDK Corporation","FIXED IND 3.3NH 800MA 200MOHM SM","21,551","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","3.3 nH","±0.3nH","800 mA","-","Unshielded","200mOhm Max","8 @ 100MHz","5GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3062-2-ND,445-3062-1-ND,445-3062-6-ND","MLG1005S18NJT000","TDK Corporation","TDK Corporation","FIXED IND 18NH 350MA 600MOHM SMD","28,793","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","18 nH","±5%","350 mA","-","Unshielded","600mOhm Max","8 @ 100MHz","2GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-3071-2-ND,445-3071-1-ND,445-3071-6-ND","MLG1005SR10JT000","TDK Corporation","TDK Corporation","FIXED IND 100NH 200MA 2 OHM SMD","28,620","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","100 nH","±5%","200 mA","-","Unshielded","2Ohm Max","8 @ 100MHz","700MHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg1005s_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/445_M-SERIES.jpg","445-6311-2-ND,445-6311-1-ND,445-6311-6-ND","MLG1005S24NJT000","TDK Corporation","TDK Corporation","FIXED IND 24NH 350MA 700MOHM SMD","36,721","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG","Active","Multilayer","Ceramic, Non-Magnetic","24 nH","±5%","350 mA","-","Unshielded","700mOhm Max","8 @ 100MHz","1.7GHz","-","-55°C ~ 125°C","100 MHz","Surface Mount","0402 (1005 Metric)","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","-"
