Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate","Ratings"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","311-0.0ARTR-ND,311-0.0ARCT-ND,311-0.0ARDKR-ND","RC0805JR-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/8W 0805","1,454,655","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","13-RC0805FR-130RLTR-ND,13-RC0805FR-130RLCT-ND,13-RC0805FR-130RLDKR-ND","RC0805FR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/8W 0805","94,673","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","13-RC0805JR-130RLTR-ND,13-RC0805JR-130RLCT-ND,13-RC0805JR-130RLDKR-ND","RC0805JR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/8W 0805","75,526","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","311-0.0CRTR-ND,311-0.0CRCT-ND,311-0.0CRDKR-ND","RC0805FR-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/8W 0805","555,476","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","13-RC0805JR-7W0RLTR-ND,13-RC0805JR-7W0RLCT-ND,13-RC0805JR-7W0RLDKR-ND","RC0805JR-7W0RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 0805","40,684","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","13-RC0805JR-100RLTR-ND,13-RC0805JR-100RLCT-ND,13-RC0805JR-100RLDKR-ND","RC0805JR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/8W 0805","21,886","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","13-RC0805FR-100RLTR-ND,13-RC0805FR-100RLCT-ND,13-RC0805FR-100RLDKR-ND","RC0805FR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 0805","1,471","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","13-RC0805FR-101RLTR-ND,13-RC0805FR-101RLCT-ND,13-RC0805FR-101RLDKR-ND","RC0805FR-101RL","YAGEO","YAGEO","RES 1 OHM 1% 1/8W 0805","34,806","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","311-1.0ARTR-ND,311-1.0ARCT-ND,311-1.0ARDKR-ND","RC0805JR-071RL","YAGEO","YAGEO","RES 1 OHM 5% 1/8W 0805","607,096","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±5%","0.125W, 1/8W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-(2012-metric).jpg","311-1.00CRTR-ND,311-1.00CRCT-ND,311-1.00CRDKR-ND","RC0805FR-071RL","YAGEO","YAGEO","RES 1 OHM 1% 1/8W 0805","920,435","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±1%","0.125W, 1/8W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)","2","-","-"
